,foodcourt,restaurant,restaurantmenuitem,date,forecast,r2,actual,error,MAPE,accuracy_prophet
69,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-18,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
70,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-12,1,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
71,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-13,1,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
72,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-14,9,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
73,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-15,1,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
74,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-16,1,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
75,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-17,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
76,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-18,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
77,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-12,3,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
78,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-13,4,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
79,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-14,17,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
80,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-15,3,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
81,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-16,3,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
82,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-17,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
83,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-18,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
84,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-12,38,0.5136074992440278,62.0,0.3870967741935484,0.20121405026938785,0.7987859497306121
85,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-13,39,0.5136074992440278,79.0,0.5063291139240507,0.20121405026938785,0.7987859497306121
