,date,foodcourt,restaurant,restaurantmenuitem,actual,forecast_arima,model,accuracy_arima
76,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,0.0,auto-arima,0.2857142857142857
77,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,,auto-arima,0.2857142857142857
78,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,,auto-arima,0.2857142857142857
79,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,,auto-arima,0.2857142857142857
80,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,,auto-arima,0.2857142857142857
81,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,,auto-arima,0.2857142857142857
82,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,0.0,auto-arima,0.2857142857142857
83,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,0.0,auto-arima,0.2857142857142857
84,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,62.0,,auto-arima,1.0
85,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,79.0,,auto-arima,1.0
86,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,75.0,,auto-arima,1.0
87,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,60.0,,auto-arima,1.0
88,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,46.0,,auto-arima,1.0
89,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,0.0,0.0,auto-arima,1.0
90,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,0.0,0.0,auto-arima,1.0
91,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,38.0,,auto-arima,1.0
92,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,38.0,,auto-arima,1.0
93,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,43.0,,auto-arima,1.0
94,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,46.0,,auto-arima,1.0
95,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,54.0,,auto-arima,1.0
96,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,0.0,0.0,auto-arima,1.0
97,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,0.0,0.0,auto-arima,1.0
98,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,31.0,,auto-arima,1.0
99,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,42.0,,auto-arima,1.0
100,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,28.0,,auto-arima,1.0
