,date,foodcourt,restaurant,restaurantmenuitem,actual,forecast_xgb_norm,r2,mape,model,accuracy_xgb_norm
79,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,13.0,0.0,8363827879402350.0,xgboost-norm,0.8571428571428572
80,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,0.0,0.0,8363827879402350.0,xgboost-norm,0.8571428571428572
81,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,0.0,0.0,8363827879402350.0,xgboost-norm,0.8571428571428572
82,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,0.0,0.0,8363827879402350.0,xgboost-norm,0.8571428571428572
83,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,0.0,0.0,8363827879402350.0,xgboost-norm,0.8571428571428572
84,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,62.0,8.0,-1.0830057453885695,0.546327152587738,xgboost-norm,0.453672847412262
85,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,79.0,9.0,-1.0830057453885695,0.546327152587738,xgboost-norm,0.453672847412262
86,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,75.0,13.0,-1.0830057453885695,0.546327152587738,xgboost-norm,0.453672847412262
87,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,60.0,26.0,-1.0830057453885695,0.546327152587738,xgboost-norm,0.453672847412262
88,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,46.0,15.0,-1.0830057453885695,0.546327152587738,xgboost-norm,0.453672847412262
89,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,0.0,0.0,-1.0830057453885695,0.546327152587738,xgboost-norm,0.453672847412262
90,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,0.0,0.0,-1.0830057453885695,0.546327152587738,xgboost-norm,0.453672847412262
91,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,38.0,4.0,-0.9949074527470374,0.5614184320479888,xgboost-norm,0.4385815679520112
92,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,38.0,6.0,-0.9949074527470374,0.5614184320479888,xgboost-norm,0.4385815679520112
93,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,43.0,7.0,-0.9949074527470374,0.5614184320479888,xgboost-norm,0.4385815679520112
94,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,46.0,16.0,-0.9949074527470374,0.5614184320479888,xgboost-norm,0.4385815679520112
95,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,54.0,16.0,-0.9949074527470374,0.5614184320479888,xgboost-norm,0.4385815679520112
