,foodcourt,restaurant,restaurantmenuitem,average_sales,rank,sales_segment,rank_segment
119,60f172e2d1b6e328e744cf65,622f1643edb3c44fb67cca33,64f2fd8f9d34a3001730c013,24.88235294117647,323,10-25,300-400
120,60f172e2d1b6e328e744cf65,622f1643edb3c44fb67cca33,64f2fd8f9d34a3001730c01e,22.4,353,10-25,300-400
121,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,64f301124c59cf001197464f,28.333333333333332,270,25-50,200-300
122,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,64f301124c59cf0011974650,4.8125,813,<10,>500
123,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,64f301124c59cf0011974651,38.333333333333336,208,25-50,200-300
124,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,6502e58c4965a6001be6ce0c,6.545454545454546,724,<10,>500
125,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,6502e58c4965a6001be6ce0e,11.38888888888889,563,10-25,>500
126,60f172e2d1b6e328e744cf65,64c87bc1ec6f6f001b6d7ba7,6502e58c4965a6001be6ce11,23.38888888888889,341,10-25,300-400
127,61529bb6364f2332c0fe8b1c,6242ed358e490f761b61c245,64f2fe344c59cf00119743f9,14.1,507,10-25,>500
128,61529bb6364f2332c0fe8b1c,6242ed358e490f761b61c245,64f2fe344c59cf0011974405,15.5,489,10-25,400-500
129,61529bb6364f2332c0fe8b1c,6242ed358e490f761b61c245,64f2fe344c59cf0011974412,7.888888888888889,669,<10,>500
130,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,64f301b166de2f0017e4beea,4.125,851,<10,>500
131,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,64f301b166de2f0017e4beeb,14.166666666666666,505,10-25,>500
132,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,64f301b166de2f0017e4beec,20.88888888888889,385,10-25,300-400
133,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,6502e895d149db001b1f529b,8.5,650,<10,>500
134,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,6502e895d149db001b1f529d,14.88888888888889,497,10-25,400-500
135,61529bb6364f2332c0fe8b1c,64c8816f5225bf001bbfb753,6502e895d149db001b1f529e,6.666666666666667,720,<10,>500
136,618607cac665f41f98e72227,61866983cbd33c2fa05aa2bb,64158091c6ab30001bd338c8,7.5,683,<10,>500
137,618607cac665f41f98e72227,61866983cbd33c2fa05aa2bb,64158091c6ab30001bd338e4,5.315789473684211,784,<10,>500
138,618607cac665f41f98e72227,61866983cbd33c2fa05aa2bb,64158091c6ab30001bd338f8,4.7894736842105265,816,<10,>500
139,618607cac665f41f98e72227,61866983cbd33c2fa05aa2bb,64158091c6ab30001bd3390b,4.333333333333333,834,<10,>500
140,618607cac665f41f98e72227,638458e1915f54780b60c644,657c6c48aa5e7f001b51cc77,6.777777777777778,713,<10,>500
141,61860f8c2d415a4a5c52e822,6242eae58e490f761b61c1f1,64f2fef676868b00110d2e4a,10.6,592,10-25,>500
142,61860f8c2d415a4a5c52e822,6242eae58e490f761b61c1f1,64f2fef676868b00110d2e53,7.944444444444445,665,<10,>500
143,61860f8c2d415a4a5c52e822,6242eae58e490f761b61c1f1,64f2fef676868b00110d2e5d,8.647058823529411,646,<10,>500
144,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,64f3016776868b00110d2eee,7.0,703,<10,>500
145,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,64f3016776868b00110d2ef1,6.722222222222222,718,<10,>500
146,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,64f3016776868b00110d2ef7,2.142857142857143,963,<10,>500
147,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,6502e99b6ce312001b5e188c,7.222222222222222,694,<10,>500
148,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,6502e99b6ce312001b5e1893,5.428571428571429,774,<10,>500
149,61860f8c2d415a4a5c52e822,64c87aba9b654a001b612eef,6502e9b58faeb9001bbc3e82,5.428571428571429,774,<10,>500
150,61862d3cc680d0688d9d3139,61a6181a15bc1b50911379b8,64f304cf9d34a3001730c13e,9.588235294117647,628,<10,>500
