foodcourt,restaurant,restaurantmenuitem,accuracy_deepar_multi,accuracy_deepar_uni
6053428bab9cfa30be36b00e,64d320aeccff09001c48b8d4,64d3229d30769e001b1c4ae3,0.893290043,0.857142857
60587d3eb6dfef46f7241a34,64c202e60303800011c89dff,64c228f14842f500121f7074,0.892857143,0.723308271
60587d3eb6dfef46f7241a34,64c202e60303800011c89dff,64d08471866e7c001ba6683e,0.892857143,0.782251082
60587d3eb6dfef46f7241a34,64c202e60303800011c89dff,64d08678443198001b0d9b11,0.892759009,0.686128997
60587d3eb6dfef46f7241a34,652e60520c07dc00113fa720,659bfca5649b99001be13496,0.892503536,0.714285714
60587d3eb6dfef46f7241a34,652e60520c07dc00113fa720,659bfe888933d00017f8272e,0.892457318,0.571428571
60587d3eb6dfef46f7241a34,659e78e5b1bc68001a7d2e9b,65c1ac41a81c2b001b4af08f,0.889033547,0.857142857
6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f457ee4b001bf6b449,0.888932496,0.659863946
6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f457ee4b001bf6b46b,0.888514188,0.776909482
6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f457ee4b001bf6b470,0.887755102,0.845733562
6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f557ee4b001bf6b475,0.887218045,0.82790875
6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f557ee4b001bf6b476,0.887218045,0.755057579
6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9777,0.886970173,0.859254912
6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9786,0.886185243,0.697629498
6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c978f,0.886160714,0.761781477
6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9794,0.88474026,0.679365079
6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9799,0.883458647,0.531385281
